participant_id,treatment,image_id,entropy,albox_mean,iou,change_size,changed
45,baseline,530,2.975463867187e-4,0.7813749999999999,1,0,0
45,baseline,530,0.114501953125,3.78125,0.73,0.27,1
45,baseline,530,0.0122451782226562,2.401625,1,0,0
45,baseline,530,0.436767578125,3.70655,1,0,0
45,baseline,428,0.0012445449829101,0.734725,0.986766,0.013234,1
45,baseline,428,0.0047645568847656,2.399175,0.735294,0.264706,1
45,baseline,428,0.0053176879882812,2.2102,1,0,0
45,baseline,428,0.055267333984375,2.69895,0.72,0.28,1
45,baseline,303,9.059906005859377e-6,0.8331,1,0,0
45,baseline,303,0.0051383972167968,1.0315,0.94,0.06,1
45,baseline,303,8.950233459472e-4,1.622075,1,0,0
45,baseline,303,0.032470703125,2.0176,0.634595,0.365405,1
45,baseline,303,0.486572265625,2.7676,0.08088,0.91912,1
45,baseline,303,0.0545654296875,2.0454,0.744762,0.255238,1
45,baseline,303,0.0092010498046875,0.997425,1,0,0
45,baseline,917,1.71661376953125e-5,1.0598,0.970022,0.029978,1
45,baseline,917,3.948211669921e-4,1.25525,1,0,0
45,baseline,917,0.0010156631469726,1.25805,0.912,0.088,1
45,baseline,917,0.046905517578125,1.4492249999999998,0.637894,0.362106,1
45,baseline,271,1.5616416931152344e-5,1.190925,0.9216,0.0784,1
